date,price,open,high,low,vol.,change %,vol,perc_chg
29-03-2022,"1,393.10","1,377.57","1,393.18","1,377.57",,1.26%,,
30-03-2022,"1,412.87","1,400.42","1,419.93","1,399.01",,1.42%,,
31-03-2022,"1,401.37","1,412.18","1,414.56","1,398.94",,-0.81%,,
01-04-2022,"1,390.53","1,395.96","1,395.96","1,372.19",,-0.77%,,
04-04-2022,"1,416.20","1,392.70","1,417.70","1,390.71",,1.85%,,
05-04-2022,"1,422.88","1,423.05","1,424.46","1,422.03",,0.47%,,
06-04-2022,"1,387.39","1,415.39","1,415.39","1,385.68",,-2.49%,,
07-04-2022,"1,362.77","1,383.67","1,385.51","1,362.61",,-1.77%,,
08-04-2022,"1,355.50","1,359.86","1,360.52","1,347.09",,-0.53%,,
11-04-2022,"1,322.86","1,353.65","1,353.87","1,319.95",,-2.41%,,
12-04-2022,"1,324.10","1,321.44","1,332.67","1,312.72",,0.09%,,
13-04-2022,"1,338.08","1,324.32","1,346.05","1,324.03",,1.06%,,
14-04-2022,"1,339.65","1,343.41","1,344.82","1,336.29",,0.12%,,
15-04-2022,"1,326.50","1,334.26","1,334.33","1,325.94",,-0.98%,,
18-04-2022,"1,318.25","1,326.07","1,326.94","1,317.74",,-0.62%,,
19-04-2022,"1,300.83","1,318.05","1,324.69","1,299.85",,-1.32%,,
20-04-2022,"1,308.11","1,301.44","1,313.99","1,297.15",,0.56%,,
21-04-2022,"1,293.62","1,304.60","1,307.23","1,286.02",,-1.11%,,
22-04-2022,"1,276.43","1,285.30","1,285.30","1,264.47",,-1.33%,,
25-04-2022,"1,239.65","1,274.70","1,274.70","1,237.25",,-2.88%,,
26-04-2022,"1,252.46","1,242.70","1,263.54","1,241.76",,1.03%,,
29-04-2022,"1,305.63","1,253.53","1,311.43","1,253.53",,4.25%,,
02-05-2022,"1,303.17","1,305.36","1,305.36","1,301.36",,-0.19%,,
03-05-2022,"1,299.61","1,305.05","1,309.50","1,285.64",,-0.27%,,
04-05-2022,"1,286.09","1,301.25","1,305.65","1,283.87",,-1.04%,,
05-05-2022,"1,291.61","1,292.42","1,309.62","1,291.25",,0.43%,,
06-05-2022,"1,243.49","1,280.19","1,280.19","1,241.32",,-3.73%,,
09-05-2022,"1,229.70","1,239.70","1,240.35","1,229.04",,-1.11%,,
10-05-2022,"1,211.30","1,224.96","1,225.25","1,189.70",,-1.50%,,
11-05-2022,"1,219.31","1,211.44","1,231.19","1,205.16",,0.66%,,
12-05-2022,"1,183.96","1,215.05","1,215.05","1,182.65",,-2.90%,,
13-05-2022,"1,210.17","1,185.75","1,214.53","1,185.75",,2.21%,,
16-05-2022,"1,217.48","1,217.11","1,231.79","1,212.61",,0.60%,,
17-05-2022,"1,257.29","1,218.56","1,257.36","1,218.56",,3.27%,,
18-05-2022,"1,267.06","1,262.19","1,271.41","1,256.05",,0.78%,,
19-05-2022,"1,225.33","1,260.01","1,260.01","1,222.05",,-3.29%,,
20-05-2022,"1,262.86","1,232.58","1,264.09","1,232.17",,3.06%,,
23-05-2022,"1,254.24","1,261.45","1,264.99","1,247.37",,-0.68%,,
24-05-2022,"1,229.74","1,252.93","1,252.93","1,227.69",,-1.95%,,
25-05-2022,"1,225.84","1,227.71","1,233.58","1,223.38",,-0.32%,,
26-05-2022,"1,221.39","1,227.04","1,232.06","1,212.01",,-0.36%,,
27-05-2022,"1,262.03","1,229.17","1,262.45","1,228.43",,3.33%,,
30-05-2022,"1,300.96","1,266.85","1,302.38","1,265.47",,3.08%,,
31-05-2022,"1,317.48","1,301.18","1,321.14","1,292.78",,1.27%,,
01-06-2022,"1,306.90","1,318.75","1,318.87","1,303.45",,-0.80%,,
