date,price,open,high,low,change %,vol,perc_chg
2017-03-15,943.52,939.87,951.1,937.77,0.38%,,
2017-03-16,963.2,950.94,965.76,950.94,2.09%,,
2017-03-17,965.57,963.41,967.67,962.91,0.25%,,
2017-03-20,972.35,966.55,974.31,965.09,0.70%,,
2017-03-21,973.08,973.51,979.75,971.01,0.08%,,
2017-03-22,966.97,971.53,971.53,963.19,-0.63%,,
2017-03-23,967.92,968.04,969.66,966.54,0.10%,,
2017-03-24,969.13,968.04,971.47,966.03,0.13%,,
2017-03-27,965.71,970.44,971.86,963.44,-0.35%,,
2017-03-28,970.32,966.53,970.54,966.29,0.48%,,
2017-03-29,971.86,968.83,972.61,967.35,0.16%,,
2017-03-30,969.47,972,972.34,966.38,-0.25%,,
2017-03-31,958.37,968.46,968.55,958.37,-1.14%,,
2017-04-03,965.15,960.4,965.45,960.4,0.71%,,
2017-04-04,965.17,963.86,965.17,961.44,0.00%,,
2017-04-05,969.22,964.65,971.21,964.61,0.42%,,
2017-04-06,963.29,967.52,967.52,960.62,-0.61%,,
2017-04-07,961.61,963.2,963.26,956.45,-0.17%,,
2017-04-10,958,960.69,960.82,956.17,-0.38%,,
2017-04-11,954.44,958.05,958.69,952.18,-0.37%,,
2017-04-12,958.2,955.31,961.6,954.11,0.39%,,
2017-04-13,962.85,962.05,966.14,960.36,0.49%,,
2017-04-14,960.43,960.78,960.78,958.06,-0.25%,,
2017-04-17,962.71,959.01,963.49,958.43,0.24%,,
2017-04-18,957.7,963.69,964.14,955.75,-0.52%,,
2017-04-19,952.92,957.12,957.37,951.63,-0.50%,,
2017-04-20,958.45,951.88,959.17,950.99,0.58%,,
2017-04-21,961.78,959.27,963.53,959.27,0.35%,,
2017-04-24,971.36,963.6,972.02,963.06,1.00%,,
2017-04-25,982.65,970.43,982.67,970.43,1.16%,,
2017-04-26,982.53,982.93,986.26,978.67,-0.01%,,
2017-04-27,979.66,980.97,982.57,977.85,-0.29%,,
2017-04-28,977.96,979.04,980.91,976.53,-0.17%,,
2017-05-01,979.76,978.77,979.9,978.44,0.18%,,
2017-05-02,988.19,979.85,989.19,979.85,0.86%,,
2017-05-03,985.74,989.36,990.11,984.14,-0.25%,,
2017-05-04,980.07,984.56,985.37,977.84,-0.58%,,
2017-05-05,978.27,978.32,978.51,972.95,-0.18%,,
2017-05-08,985.11,978.15,986.2,978.04,0.70%,,
2017-05-09,990.6,983.69,990.6,982.92,0.56%,,
2017-05-10,995.09,988.16,995.89,988.16,0.45%,,
2017-05-11,"1,000.35",995.51,"1,002.16",994.97,0.53%,,
2017-05-12,"1,002.37","1,001.56","1,003.57",999.14,0.20%,,
2017-05-15,"1,010.23","1,002.93","1,011.93","1,002.38",0.78%,,
2017-05-16,"1,015.05","1,011.76","1,015.73","1,009.75",0.48%,,
2017-05-17,"1,008.63","1,015.07","1,015.07","1,006.64",-0.63%,,
