Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
08-Aug-00,Equity,157.3,79.1,78.2,17.2,Rs. 45.57,
09-Aug-00,Equity,303.7,117.4,186.3,40.8,Rs. 45.72,
10-Aug-00,Equity,461.4,280.5,180.9,39.6,Rs. 45.64,
11-Aug-00,Equity,241.5,131.2,110.3,24.1,Rs. 45.68,
14-Aug-00,Equity,142.7,167.8,-25.1,-5.5,Rs. 45.93,
16-Aug-00,Equity,319.4,134.7,184.7,40.4,Rs. 45.77,
17-Aug-00,Equity,375.3,192.4,182.9,40.1,Rs. 45.66,
18-Aug-00,Equity,318.7,113.7,205.0,44.8,Rs. 45.78,
21-Aug-00,Equity,206.2,155.0,51.2,11.2,Rs. 45.85,
22-Aug-00,Equity,222.1,55.8,166.3,36.3,Rs. 45.85,
23-Aug-00,Equity,239.8,255.3,-15.5,-3.4,Rs. 45.72,
24-Aug-00,Equity,187.9,106.1,81.8,17.9,Rs. 45.76,
25-Aug-00,Equity,242.0,169.5,72.5,15.8,Rs. 45.92,
28-Aug-00,Equity,309.6,301.4,8.2,1.8,Rs. 45.89,
29-Aug-00,Equity,52.7,186.1,-133.4,-29.1,Rs. 45.84,
30-Aug-00,Equity,162.6,304.6,-142.0,-31.0,Rs. 45.79,
31-Aug-00,Equity,179.8,138.3,41.5,9.1,Rs. 45.83,
04-Sep-00,Equity,608.9,438.3,170.6,37.3,Rs. 45.80,
05-Sep-00,Equity,364.4,206.4,158.0,34.5,Rs. 45.73,
06-Sep-00,Equity,236.7,331.8,-95.1,-20.8,Rs. 45.74,
07-Sep-00,Equity,215.8,725.3,-509.5,-111.5,Rs. 45.68,
08-Sep-00,Equity,393.9,388.7,5.2,1.1,Rs. 45.64,
11-Sep-00,Equity,1307.1,323.9,983.2,215.4,Rs. 45.64,
12-Sep-00,Equity,161.0,257.9,-96.9,-21.2,Rs. 45.63,
13-Sep-00,Equity,640.4,198.7,441.7,96.9,Rs. 45.60,
14-Sep-00,Equity,317.2,416.0,-98.8,-21.6,Rs. 45.64,
15-Sep-00,Equity,102.2,317.9,-215.7,-47.2,Rs. 45.68,
18-Sep-00,Equity,569.5,585.0,-15.5,-3.4,Rs. 45.76,
19-Sep-00,Equity,479.8,572.3,-92.5,-20.2,Rs. 45.85,
20-Sep-00,Equity,301.2,785.2,-484.0,-104.7,Rs. 46.22,
21-Sep-00,Equity,114.0,191.3,-77.3,-16.7,Rs. 46.22,
22-Sep-00,Equity,331.1,100.5,230.6,49.9,Rs. 46.20,
25-Sep-00,Equity,191.1,300.4,-109.3,-23.7,Rs. 46.08,
26-Sep-00,Equity,115.8,244.0,-128.2,-27.9,Rs. 46.02,
27-Sep-00,Equity,249.9,213.7,36.2,7.9,Rs. 46.07,
28-Sep-00,Equity,79.2,133.3,-54.1,-11.7,Rs. 46.15,
29-Sep-00,Equity,199.4,105.6,93.8,20.3,Rs. 46.16,
03-Oct-00,Equity,215.6,390.3,-174.7,-37.9,Rs. 46.07,
04-Oct-00,Equity,147.8,259.3,-111.5,-24.2,Rs. 46.07,
05-Oct-00,Equity,122.5,85.8,36.7,8.0,Rs. 46.05,
06-Oct-00,Equity,229.6,169.4,60.2,13.1,Rs. 46.09,
09-Oct-00,Equity,162.0,253.9,-91.9,-19.9,Rs. 46.11,
10-Oct-00,Equity,258.1,180.0,78.1,16.9,Rs. 46.08,
11-Oct-00,Equity,343.3,208.2,135.1,29.3,Rs. 46.13,
12-Oct-00,Equity,33.4,262.1,-228.7,-49.4,Rs. 46.33,
13-Oct-00,Equity,145.0,274.4,-129.4,-27.9,Rs. 46.30,
16-Oct-00,Equity,245.1,440.5,-195.4,-42.1,Rs. 46.38,
17-Oct-00,Equity,162.8,172.3,-9.5,-2.0,Rs. 46.32,
18-Oct-00,Equity,209.5,319.6,-110.1,-23.8,Rs. 46.36,
19-Oct-00,Equity,134.8,133.4,1.4,0.3,Rs. 46.33,
20-Oct-00,Equity,215.0,172.4,42.6,9.2,Rs. 46.33,
23-Oct-00,Equity,525.0,205.5,319.5,69.0,Rs. 46.34,
24-Oct-00,Equity,175.8,233.3,-57.5,-12.4,Rs. 46.38,
25-Oct-00,Equity,337.4,76.7,260.7,56.1,Rs. 46.43,
27-Oct-00,Equity,230.5,195.4,35.1,7.5,Rs. 46.48,
30-Oct-00,Equity,238.5,216.8,21.7,4.6,Rs. 46.78,
31-Oct-00,Equity,87.5,241.7,-154.2,-32.9,Rs. 46.86,
01-Nov-00,Equity,142.9,73.1,69.8,14.9,Rs. 46.80,
02-Nov-00,Equity,171.8,251.0,-79.2,-16.9,Rs. 46.79,
03-Nov-00,Equity,378.3,109.0,269.3,57.6,Rs. 46.76,
06-Nov-00,Equity,306.5,90.3,216.2,46.3,Rs. 46.69,
07-Nov-00,Equity,292.7,168.1,124.6,26.7,Rs. 46.64,
08-Nov-00,Equity,148.9,115.4,33.5,7.2,Rs. 46.65,
09-Nov-00,Equity,543.5,243.9,299.6,64.2,Rs. 46.69,
10-Nov-00,Equity,275.1,146.9,128.2,27.4,Rs. 46.73,
13-Nov-00,Equity,189.2,127.9,61.3,13.1,Rs. 46.74,
14-Nov-00,Equity,129.1,117.1,12.0,2.6,Rs. 46.76,
15-Nov-00,Equity,84.0,179.6,-95.6,-20.4,Rs. 46.78,
16-Nov-00,Equity,104.4,97.2,7.2,1.5,Rs. 46.75,
17-Nov-00,Equity,65.2,161.7,-96.5,-20.6,Rs. 46.84,
20-Nov-00,Equity,141.2,238.1,-96.9,-20.7,Rs. 46.83,
21-Nov-00,Equity,82.8,109.5,-26.7,-5.7,Rs. 46.78,
22-Nov-00,Equity,203.1,167.3,35.8,7.7,Rs. 46.78,
23-Nov-00,Equity,201.6,248.6,-47.0,-10.0,Rs. 46.83,
24-Nov-00,Equity,141.5,89.6,51.9,11.1,Rs. 46.82,
27-Nov-00,Equity,189.0,265.1,-76.1,-16.2,Rs. 46.87,
28-Nov-00,Equity,212.1,41.3,170.8,36.5,Rs. 46.86,
29-Nov-00,Equity,234.8,237.3,-2.5,-0.5,Rs. 46.89,
30-Nov-00,Equity,190.4,218.0,-27.6,-5.9,Rs. 46.89,
01-Dec-00,Equity,336.2,167.2,169.0,36.1,Rs. 46.84,
04-Dec-00,Equity,290.6,374.3,-83.7,-17.9,Rs. 46.85,
05-Dec-00,Equity,102.3,166.1,-63.8,-13.6,Rs. 46.83,
06-Dec-00,Equity,206.2,191.0,15.2,3.3,Rs. 46.80,
07-Dec-00,Equity,183.8,202.6,-18.8,-4.0,Rs. 46.74,
08-Dec-00,Equity,129.1,125.0,4.1,0.9,Rs. 46.77,
11-Dec-00,Equity,189.1,280.3,-91.2,-19.5,Rs. 46.76,
12-Dec-00,Equity,208.1,172.8,35.3,7.5,Rs. 46.76,
13-Dec-00,Equity,414.8,223.6,191.2,40.9,Rs. 46.77,
14-Dec-00,Equity,422.2,242.5,179.7,38.4,Rs. 46.77,
15-Dec-00,Equity,185.7,268.6,-82.9,-17.7,Rs. 46.76,
18-Dec-00,Equity,302.6,274.9,27.7,5.9,Rs. 46.77,
19-Dec-00,Equity,66.5,280.9,-214.4,-45.9,Rs. 46.76,
20-Dec-00,Equity,301.0,309.8,-8.8,-1.9,Rs. 46.71,
21-Dec-00,Equity,118.0,398.0,-280.0,-60.0,Rs. 46.68,
22-Dec-00,Equity,257.0,280.0,-23.0,-4.9,Rs. 46.71,
26-Dec-00,Equity,183.2,329.0,-145.8,-31.2,Rs. 46.69,
27-Dec-00,Equity,73.7,146.2,-72.5,-15.5,Rs. 46.68,
28-Dec-00,Equity,135.4,177.0,-41.6,-8.9,Rs. 46.68,
29-Dec-00,Equity,195.1,267.6,-72.5,-15.5,Rs. 46.70,
01-Jan-01,Equity,522.4,189.5,332.9,71.2,Rs. 46.75,
02-Jan-01,Equity,83.0,8.2,74.8,16.0,Rs. 46.66,
03-Jan-01,Equity,267.3,63.8,203.5,43.6,Rs. 46.69,
04-Jan-01,Equity,264.8,236.0,28.8,6.2,Rs. 46.70,
05-Jan-01,Equity,556.0,225.8,330.2,70.7,Rs. 46.74,
08-Jan-01,Equity,438.4,115.2,323.2,69.2,Rs. 46.74,
09-Jan-01,Equity,172.0,141.5,30.5,6.5,Rs. 46.69,
10-Jan-01,Equity,294.4,122.5,171.9,36.8,Rs. 46.66,
11-Jan-01,Equity,295.0,201.6,93.4,20.0,Rs. 46.61,
12-Jan-01,Equity,168.5,152.6,15.9,3.4,Rs. 46.63,
15-Jan-01,Equity,414.4,203.1,211.3,45.3,Rs. 46.61,
16-Jan-01,Equity,534.8,309.6,225.2,48.4,Rs. 46.53,
17-Jan-01,Equity,232.2,97.5,134.7,28.9,Rs. 46.53,
18-Jan-01,Equity,324.8,226.4,98.4,21.2,Rs. 46.41,
19-Jan-01,Equity,523.1,137.2,385.9,83.1,Rs. 46.42,
22-Jan-01,Equity,608.3,289.8,318.5,68.6,Rs. 46.40,
23-Jan-01,Equity,334.0,125.5,208.5,45.0,Rs. 46.39,
24-Jan-01,Equity,336.9,198.6,138.3,29.8,Rs. 46.35,
25-Jan-01,Equity,173.5,135.4,38.1,8.2,Rs. 46.37,
29-Jan-01,Equity,566.1,210.0,356.1,76.7,Rs. 46.46,
30-Jan-01,Equity,178.3,213.7,-35.4,-7.6,Rs. 46.53,
31-Jan-01,Equity,543.5,183.2,360.3,77.5,Rs. 46.47,
01-Feb-01,Equity,488.6,227.8,260.8,56.2,Rs. 46.41,
02-Feb-01,Equity,405.8,340.2,65.6,14.1,Rs. 46.40,
05-Feb-01,Equity,334.0,261.9,72.1,15.5,Rs. 46.41,
06-Feb-01,Equity,274.1,325.6,-51.5,-11.1,Rs. 46.41,
07-Feb-01,Equity,200.3,253.2,-52.9,-11.4,Rs. 46.40,
08-Feb-01,Equity,133.2,329.9,-196.7,-42.4,Rs. 46.39,
09-Feb-01,Equity,352.5,269.3,83.2,17.9,Rs. 46.44,
12-Feb-01,Equity,354.3,202.4,151.9,32.7,Rs. 46.43,
13-Feb-01,Equity,195.5,150.6,44.9,9.7,Rs. 46.48,
14-Feb-01,Equity,606.4,206.6,399.8,85.9,Rs. 46.55,
15-Feb-01,Equity,224.3,145.6,78.7,16.9,Rs. 46.60,
16-Feb-01,Equity,284.3,102.0,182.3,39.1,Rs. 46.59,
19-Feb-01,Equity,447.4,159.2,288.2,61.9,Rs. 46.54,
20-Feb-01,Equity,88.0,90.1,-2.1,-0.5,Rs. 46.54,
21-Feb-01,Equity,253.4,147.5,105.9,22.7,Rs. 46.58,
22-Feb-01,Equity,318.0,214.2,103.8,22.3,Rs. 46.58,
23-Feb-01,Equity,249.9,243.3,6.6,1.4,Rs. 46.63,
26-Feb-01,Equity,375.4,229.6,145.8,31.3,Rs. 46.58,
27-Feb-01,Equity,122.2,146.1,-23.9,-5.1,Rs. 46.63,
28-Feb-01,Equity,350.3,193.9,156.4,33.5,Rs. 46.67,
01-Mar-01,Equity,401.5,528.9,-127.4,-27.3,Rs. 46.61,
02-Mar-01,Equity,372.4,422.1,-49.7,-10.7,Rs. 46.53,
05-Mar-01,Equity,651.5,393.1,258.4,55.5,Rs. 46.57,
07-Mar-01,Equity,338.2,318.4,19.8,4.3,Rs. 46.56,
08-Mar-01,Equity,546.7,257.7,289.0,62.1,Rs. 46.52,
09-Mar-01,Equity,189.9,176.4,13.5,2.9,Rs. 46.54,
12-Mar-01,Equity,303.7,164.2,139.5,30.0,Rs. 46.53,
13-Mar-01,Equity,159.3,140.5,18.8,4.0,Rs. 46.55,
14-Mar-01,Equity,790.8,297.5,493.3,105.8,Rs. 46.61,
15-Mar-01,Equity,257.6,224.1,33.5,7.2,Rs. 46.69,
16-Mar-01,Equity,464.6,172.6,292.0,62.6,Rs. 46.65,
19-Mar-01,Equity,309.5,110.3,199.2,42.7,Rs. 46.67,
20-Mar-01,Equity,102.0,159.1,-57.1,-12.2,Rs. 46.69,
21-Mar-01,Equity,233.0,146.6,86.4,18.5,Rs. 46.70,
22-Mar-01,Equity,259.9,146.1,113.8,24.4,Rs. 46.70,
23-Mar-01,Equity,278.0,146.5,131.5,28.2,Rs. 46.68,
26-Mar-01,Equity,216.7,175.4,41.3,8.8,Rs. 46.67,
27-Mar-01,Equity,77.1,45.6,31.5,6.8,Rs. 46.67,
28-Mar-01,Equity,279.2,207.8,71.4,15.3,Rs. 46.63,
29-Mar-01,Equity,158.9,190.9,-32.0,-6.9,Rs. 46.62,
30-Mar-01,Equity,187.1,180.7,6.4,1.4,Rs. 46.66,
02-Apr-01,Equity,305.9,172.5,133.4,28.6,Rs. 46.64,
03-Apr-01,Equity,177.2,69.0,108.2,23.2,Rs. 46.64,
04-Apr-01,Equity,258.1,81.4,176.7,37.9,Rs. 46.64,
06-Apr-01,Equity,168.6,108.0,60.6,13.0,Rs. 46.63,
09-Apr-01,Equity,290.1,225.5,64.6,13.8,Rs. 46.63,
10-Apr-01,Equity,133.3,148.3,-15.0,-3.2,Rs. 46.55,
11-Apr-01,Equity,187.1,183.4,3.7,0.8,Rs. 46.56,
12-Apr-01,Equity,178.4,78.2,100.2,21.5,Rs. 46.58,
16-Apr-01,Equity,366.5,178.2,188.3,40.2,Rs. 46.89,
17-Apr-01,Equity,194.6,95.4,99.2,21.1,Rs. 46.96,
18-Apr-01,Equity,219.2,121.4,97.8,20.8,Rs. 46.97,
19-Apr-01,Equity,483.1,181.8,301.3,64.3,Rs. 46.84,
20-Apr-01,Equity,444.7,291.0,153.7,32.8,Rs. 46.84,
23-Apr-01,Equity,399.9,209.7,190.2,40.6,Rs. 46.85,
24-Apr-01,Equity,86.0,145.0,-59.0,-12.6,Rs. 46.79,
25-Apr-01,Equity,202.3,157.7,44.6,9.5,Rs. 46.84,
26-Apr-01,Equity,69.6,65.9,3.7,0.8,Rs. 46.85,
27-Apr-01,Equity,178.5,126.9,51.6,11.0,Rs. 46.86,
30-Apr-01,Equity,255.9,189.9,66.0,14.1,Rs. 46.86,
02-May-01,Equity,155.2,204.9,-49.7,-10.6,Rs. 46.86,
03-May-01,Equity,170.3,74.4,95.9,20.5,Rs. 46.81,
04-May-01,Equity,199.2,117.9,81.3,17.4,Rs. 46.85,
07-May-01,Equity,265.9,127.2,138.7,29.6,Rs. 46.83,
08-May-01,Equity,35.0,92.2,-57.2,-12.2,Rs. 46.83,
09-May-01,Equity,187.4,110.0,77.4,16.5,Rs. 46.81,
10-May-01,Equity,190.7,108.0,82.7,17.7,Rs. 46.83,
11-May-01,Equity,147.8,191.4,-43.6,-9.3,Rs. 46.85,
14-May-01,Equity,188.1,94.5,93.6,20.0,Rs. 46.87,
15-May-01,Equity,175.9,64.4,111.5,23.8,Rs. 46.90,
16-May-01,Equity,189.1,83.9,105.2,22.4,Rs. 47.00,
17-May-01,Equity,131.7,102.8,28.9,6.2,Rs. 46.93,
18-May-01,Equity,213.0,69.5,143.5,30.6,Rs. 46.94,
21-May-01,Equity,248.5,156.1,92.4,19.7,Rs. 46.94,
22-May-01,Equity,55.9,72.1,-16.2,-3.5,Rs. 46.96,
23-May-01,Equity,105.7,110.3,-4.6,-1.0,Rs. 47.02,
24-May-01,Equity,200.8,133.4,67.4,14.3,Rs. 46.99,
25-May-01,Equity,221.2,166.7,54.5,11.6,Rs. 46.98,
28-May-01,Equity,216.9,161.9,55.0,11.7,Rs. 46.95,
29-May-01,Equity,73.1,65.4,7.7,1.6,Rs. 46.94,
30-May-01,Equity,224.1,130.7,93.4,19.9,Rs. 46.97,
31-May-01,Equity,138.6,250.9,-112.3,-23.9,Rs. 46.96,
01-Jun-01,Equity,173.7,250.7,-77.0,-16.4,Rs. 46.99,
04-Jun-01,Equity,243.6,175.5,68.1,14.5,Rs. 47.05,
05-Jun-01,Equity,83.4,76.8,6.6,1.4,Rs. 47.02,
06-Jun-01,Equity,325.0,202.1,122.9,26.1,Rs. 47.02,
07-Jun-01,Equity,95.9,93.2,2.7,0.6,Rs. 47.00,
08-Jun-01,Equity,177.1,68.7,108.4,23.1,Rs. 46.98,
11-Jun-01,Equity,166.1,94.3,71.8,15.3,Rs. 46.96,
12-Jun-01,Equity,79.5,120.1,-40.6,-8.7,Rs. 46.95,
13-Jun-01,Equity,181.6,121.7,59.9,12.7,Rs. 47.02,
14-Jun-01,Equity,62.8,97.4,-34.6,-7.4,Rs. 47.04,
15-Jun-01,Equity,128.1,160.4,-32.3,-6.9,Rs. 47.05,
18-Jun-01,Equity,289.0,267.0,22.0,4.7,Rs. 47.00,
19-Jun-01,Equity,125.5,158.9,-33.4,-7.1,Rs. 46.99,
20-Jun-01,Equity,236.6,126.5,110.1,23.4,Rs. 46.97,
21-Jun-01,Equity,120.6,74.0,46.6,9.9,Rs. 46.96,
22-Jun-01,Equity,104.2,53.2,51.0,10.8,Rs. 47.00,
25-Jun-01,Equity,219.3,63.9,155.4,33.1,Rs. 47.01,
26-Jun-01,Equity,96.4,67.6,28.8,6.1,Rs. 46.99,
27-Jun-01,Equity,297.4,187.3,110.1,23.4,Rs. 47.04,
28-Jun-01,Equity,137.9,139.9,-2.0,-0.4,Rs. 47.01,
29-Jun-01,Equity,119.1,148.3,-29.2,-6.2,Rs. 47.01,
02-Jul-01,Equity,181.2,124.9,56.3,12.0,Rs. 47.04,
03-Jul-01,Equity,86.6,56.1,30.5,6.5,Rs. 47.07,
04-Jul-01,Equity,134.7,146.0,-11.3,-2.4,Rs. 47.15,
05-Jul-01,Equity,159.6,137.6,22.0,4.7,Rs. 47.11,
06-Jul-01,Equity,127.0,132.3,-5.3,-1.1,Rs. 47.13,
09-Jul-01,Equity,148.2,115.9,32.3,6.8,Rs. 47.15,
10-Jul-01,Equity,39.8,35.7,4.1,0.9,Rs. 47.15,
11-Jul-01,Equity,89.9,76.5,13.4,2.8,Rs. 47.16,
12-Jul-01,Equity,101.9,85.5,16.4,3.5,Rs. 47.16,
13-Jul-01,Equity,341.5,146.5,195.0,41.3,Rs. 47.18,
16-Jul-01,Equity,237.6,178.8,58.8,12.5,Rs. 47.16,
17-Jul-01,Equity,109.3,98.1,11.2,2.4,Rs. 47.16,
18-Jul-01,Equity,326.1,122.8,203.3,43.1,Rs. 47.14,
19-Jul-01,Equity,151.0,173.0,-22.0,-4.7,Rs. 47.11,
20-Jul-01,Equity,162.4,133.0,29.4,6.2,Rs. 47.16,
23-Jul-01,Equity,134.2,104.7,29.5,6.3,Rs. 47.12,
24-Jul-01,Equity,10.3,29.0,-18.7,-4.0,Rs. 47.13,
25-Jul-01,Equity,116.4,120.6,-4.2,-0.9,Rs. 47.13,
26-Jul-01,Equity,116.9,65.0,51.9,11.0,Rs. 47.13,
27-Jul-01,Equity,138.6,104.8,33.8,7.2,Rs. 47.16,
30-Jul-01,Equity,92.9,83.8,9.1,1.9,Rs. 47.16,
31-Jul-01,Equity,63.4,76.5,-13.1,-2.8,Rs. 47.14,
01-Aug-01,Equity,158.8,89.3,69.5,14.7,Rs. 47.16,
02-Aug-01,Equity,257.7,205.2,52.5,11.1,Rs. 47.13,
03-Aug-01,Equity,165.9,135.5,30.4,6.5,Rs. 47.12,
06-Aug-01,Equity,178.5,124.8,53.7,11.4,Rs. 47.10,
07-Aug-01,Equity,116.2,85.0,31.2,6.6,Rs. 47.12,
08-Aug-01,Equity,79.7,40.1,39.6,8.4,Rs. 47.12,
09-Aug-01,Equity,113.9,104.5,9.4,2.0,Rs. 47.11,
10-Aug-01,Equity,151.3,116.7,34.6,7.3,Rs. 47.14,
13-Aug-01,Equity,89.2,70.6,18.6,4.0,Rs. 47.12,
14-Aug-01,Equity,79.4,79.9,-0.5,-0.1,Rs. 47.12,
16-Aug-01,Equity,108.5,96.7,11.8,2.5,Rs. 47.12,
17-Aug-01,Equity,178.6,139.5,39.1,8.3,Rs. 47.12,
20-Aug-01,Equity,234.2,217.1,17.1,3.6,Rs. 47.13,
21-Aug-01,Equity,113.5,137.7,-24.2,-5.1,Rs. 47.13,
23-Aug-01,Equity,136.3,139.4,-3.1,-0.7,Rs. 47.13,
24-Aug-01,Equity,190.2,132.3,57.9,12.3,Rs. 47.13,
27-Aug-01,Equity,188.5,199.3,-10.8,-2.3,Rs. 47.12,
28-Aug-01,Equity,125.9,113.0,12.9,2.7,Rs. 47.13,
29-Aug-01,Equity,95.3,77.7,17.6,3.7,Rs. 47.15,
30-Aug-01,Equity,128.5,135.7,-7.2,-1.5,Rs. 47.13,
31-Aug-01,Equity,130.1,142.8,-12.7,-2.7,Rs. 47.14,
03-Sep-01,Equity,141.9,250.6,-108.7,-23.1,Rs. 47.15,
04-Sep-01,Equity,74.7,142.3,-67.6,-14.3,Rs. 47.13,
05-Sep-01,Equity,90.9,123.4,-32.5,-6.9,Rs. 47.16,
06-Sep-01,Equity,159.3,96.7,62.6,13.3,Rs. 47.16,
07-Sep-01,Equity,141.5,135.9,5.6,1.2,Rs. 47.16,
10-Sep-01,Equity,181.6,148.8,32.8,7.0,Rs. 47.22,
11-Sep-01,Equity,105.6,91.3,14.3,3.0,Rs. 47.28,
12-Sep-01,Equity,113.6,118.6,-5.0,-1.1,Rs. 47.45,
13-Sep-01,Equity,57.8,142.5,-84.7,-17.9,Rs. 47.43,
14-Sep-01,Equity,82.4,122.5,-40.1,-8.4,Rs. 47.54,
17-Sep-01,Equity,168.9,278.7,-109.8,-23.0,Rs. 47.70,
18-Sep-01,Equity,157.8,259.1,-101.3,-21.0,Rs. 48.18,
19-Sep-01,Equity,204.9,247.6,-42.7,-8.9,Rs. 48.02,
20-Sep-01,Equity,200.4,177.4,23.0,4.8,Rs. 47.96,
21-Sep-01,Equity,255.5,184.6,70.9,14.8,Rs. 48.06,
24-Sep-01,Equity,124.4,202.4,-78.0,-16.3,Rs. 48.01,
25-Sep-01,Equity,171.6,155.7,15.9,3.3,Rs. 47.93,
26-Sep-01,Equity,196.9,209.8,-12.9,-2.7,Rs. 47.90,
27-Sep-01,Equity,157.1,121.6,35.5,7.4,Rs. 47.88,
28-Sep-01,Equity,150.0,142.9,7.1,1.5,Rs. 47.89,
01-Oct-01,Equity,191.6,133.4,58.2,12.2,Rs. 47.86,
03-Oct-01,Equity,98.0,52.3,45.7,9.5,Rs. 47.93,
04-Oct-01,Equity,155.9,130.9,25.0,5.2,Rs. 47.96,
05-Oct-01,Equity,173.2,122.1,51.1,10.7,Rs. 47.96,
08-Oct-01,Equity,172.1,77.9,94.2,19.6,Rs. 47.99,
09-Oct-01,Equity,81.0,88.9,-7.9,-1.6,Rs. 48.17,
10-Oct-01,Equity,135.6,114.5,21.1,4.4,Rs. 48.16,
11-Oct-01,Equity,247.1,114.8,132.3,27.5,Rs. 48.06,
12-Oct-01,Equity,241.2,150.9,90.3,18.8,Rs. 48.03,
15-Oct-01,Equity,232.7,169.2,63.5,13.2,Rs. 48.04,
16-Oct-01,Equity,174.0,122.8,51.2,10.7,Rs. 48.01,
17-Oct-01,Equity,152.2,163.6,-11.4,-2.4,Rs. 48.04,
18-Oct-01,Equity,212.5,170.7,41.8,8.7,Rs. 47.99,
19-Oct-01,Equity,146.7,91.5,55.2,11.5,Rs. 48.01,
22-Oct-01,Equity,164.9,100.7,64.2,13.4,Rs. 48.04,
23-Oct-01,Equity,172.6,230.1,-57.5,-12.0,Rs. 48.03,
24-Oct-01,Equity,181.0,129.5,51.5,10.7,Rs. 48.01,
25-Oct-01,Equity,194.8,141.7,53.1,11.1,Rs. 48.02,
29-Oct-01,Equity,139.8,166.3,-26.5,-5.5,Rs. 48.05,
30-Oct-01,Equity,169.5,187.3,-17.8,-3.7,Rs. 47.98,
31-Oct-01,Equity,172.4,234.0,-61.6,-12.8,Rs. 47.98,
01-Nov-01,Equity,108.4,199.0,-90.6,-18.9,Rs. 47.97,
02-Nov-01,Equity,287.4,190.6,96.8,20.2,Rs. 48.00,
05-Nov-01,Equity,231.7,225.1,6.6,1.4,Rs. 47.99,
06-Nov-01,Equity,123.6,210.8,-87.2,-18.2,Rs. 47.98,
07-Nov-01,Equity,124.7,121.7,3.0,0.6,Rs. 47.97,
08-Nov-01,Equity,84.6,85.3,-0.7,-0.1,Rs. 47.98,
09-Nov-01,Equity,148.3,129.4,18.9,3.9,Rs. 48.01,
12-Nov-01,Equity,125.6,147.7,-22.1,-4.6,Rs. 48.03,
13-Nov-01,Equity,98.7,132.5,-33.8,-7.0,Rs. 47.99,
14-Nov-01,Equity,89.7,136.4,-46.7,-9.7,Rs. 48.02,
15-Nov-01,Equity,32.5,41.9,-9.4,-2.0,Rs. 48.02,
19-Nov-01,Equity,281.1,173.2,107.9,22.5,Rs. 48.02,
20-Nov-01,Equity,335.9,234.1,101.8,21.2,Rs. 47.97,
21-Nov-01,Equity,312.8,296.3,16.5,3.4,Rs. 47.97,
22-Nov-01,Equity,178.0,123.9,54.1,11.3,Rs. 47.97,
23-Nov-01,Equity,165.2,166.6,-1.4,-0.3,Rs. 48.02,
26-Nov-01,Equity,102.4,109.4,-7.0,-1.5,Rs. 48.04,
27-Nov-01,Equity,258.7,166.7,92.0,19.1,Rs. 48.20,
28-Nov-01,Equity,219.0,330.2,-111.2,-23.2,Rs. 47.98,
29-Nov-01,Equity,156.7,193.7,-37.0,-7.7,Rs. 48.00,
03-Dec-01,Equity,152.4,142.9,9.5,2.0,Rs. 47.99,
04-Dec-01,Equity,182.9,176.2,6.7,1.4,Rs. 47.93,
05-Dec-01,Equity,188.3,159.3,29.0,6.0,Rs. 47.94,
06-Dec-01,Equity,262.7,137.2,125.5,26.2,Rs. 47.91,
07-Dec-01,Equity,474.6,246.8,227.8,47.5,Rs. 47.91,
10-Dec-01,Equity,276.2,230.2,46.0,9.6,Rs. 47.84,
11-Dec-01,Equity,147.2,168.1,-20.9,-4.4,Rs. 47.82,
12-Dec-01,Equity,135.6,279.0,-143.4,-30.0,Rs. 47.82,
13-Dec-01,Equity,163.9,254.9,-91.0,-19.0,Rs. 47.81,
14-Dec-01,Equity,321.2,242.4,78.8,16.5,Rs. 47.88,
18-Dec-01,Equity,76.0,166.4,-90.4,-18.9,Rs. 47.87,
19-Dec-01,Equity,130.7,144.4,-13.7,-2.9,Rs. 47.81,
20-Dec-01,Equity,140.7,193.9,-53.2,-11.1,Rs. 47.79,
21-Dec-01,Equity,195.8,120.8,75.0,15.7,Rs. 47.78,
24-Dec-01,Equity,140.4,118.1,22.3,4.7,Rs. 47.83,
26-Dec-01,Equity,86.7,50.9,35.8,7.5,Rs. 47.87,
27-Dec-01,Equity,21.2,16.7,4.5,0.9,Rs. 48.07,
28-Dec-01,Equity,142.4,187.9,-45.5,-9.4,Rs. 48.13,
31-Dec-01,Equity,176.9,129.5,47.4,9.8,Rs. 48.34,
01-Jan-02,Equity,76.7,52.6,24.1,5.0,Rs. 48.18,
02-Jan-02,Equity,16.5,2.8,13.7,2.8,Rs. 48.24,
03-Jan-02,Equity,141.0,132.3,8.7,1.8,Rs. 48.31,
04-Jan-02,Equity,237.8,181.0,56.8,11.8,Rs. 48.25,
07-Jan-02,Equity,577.7,267.4,310.3,64.2,Rs. 48.30,
08-Jan-02,Equity,412.2,161.7,250.5,51.9,Rs. 48.25,
09-Jan-02,Equity,476.1,310.2,165.9,34.4,Rs. 48.29,
10-Jan-02,Equity,302.5,324.3,-21.8,-4.5,Rs. 48.29,
11-Jan-02,Equity,270.8,271.2,-0.4,-0.1,Rs. 48.37,
14-Jan-02,Equity,288.0,322.0,-34.0,-7.0,Rs. 48.41,
15-Jan-02,Equity,205.7,156.8,48.9,10.2,Rs. 48.00,
16-Jan-02,Equity,195.4,257.5,-62.1,-12.9,Rs. 48.29,
17-Jan-02,Equity,172.3,220.1,-47.8,-9.9,Rs. 48.31,
